Client- from 11/21,Domain,Cancelled? (as of 12/15),Content Services?,UA?,After  Google Ranking,After  Google Change,After  Google Mobile Ranking,After  Google Mobile Ranking Change,After  Bing Ranking,After  Bing Ranking Change,After  Total Keywords,After  Google Ranking 1,After  Google Ranking 1 Percentage,After  Google Ranking 1-3,After  Google Ranking 1-3 Percentage,After  Google Ranking 1-10,After  Google Ranking 1-10 Percentage,After  Google Mobile Ranking 1,After  Google Mobile Ranking 1 Percentage,After  Google Mobile Ranking 1-3,After  Google Mobile Ranking 1-3 Percentage,After  Google Mobile Ranking 1-10,After  Google Mobile Ranking 1-10 Percentage,After  Bing Ranking 1,After  Bing Ranking 1 Percentage,After  Bing Ranking 1-3,After  Bing Ranking 1-3 Percentage,After  Bing Ranking 1-10,After  Bing Ranking 1-10 Percentage,Before Google Ranking,Before Google Change,Before Google Mobile Ranking,Before Google Mobile Ranking Change,Before Bing Ranking,Before Bing Ranking Change,Before Total Keywords,Before Google Ranking 1,Before Google Ranking 1 Percentage,Before Google Ranking 1-3,Before Google Ranking 1-3 Percentage,Before Google Ranking 1-10,Before Google Ranking 1-10 Percentage,Before Google Mobile Ranking 1,Before Google Mobile Ranking 1 Percentage,Before Google Mobile Ranking 1-3,Before Google Mobile Ranking 1-3 Percentage,Before Google Mobile Ranking 1-10,Before Google Mobile Ranking 1-10 Percentage,Before Bing Ranking 1,Before Bing Ranking 1 Percentage,Before Bing Ranking 1-3,Before Bing Ranking 1-3 Percentage,Before Bing Ranking 1-10,Before Bing Ranking 1-10 Percentage,Percent Change  Google Ranking,Percent Change  Google Change,Percent Change  Google Mobile Ranking,Percent Change  Google Mobile Ranking Change,Percent Change  Bing Ranking,Percent Change  Bing Ranking Change,Percent Change  Total Keywords,Percent Change  Google Ranking 1,Percent Change  Google Ranking 1 Percentage,Percent Change  Google Ranking 1-3,Percent Change  Google Ranking 1-3 Percentage,Percent Change  Google Ranking 1-10,Percent Change  Google Ranking 1-10 Percentage,Percent Change  Google Mobile Ranking 1,Percent Change  Google Mobile Ranking 1 Percentage,Percent Change  Google Mobile Ranking 1-3,Percent Change  Google Mobile Ranking 1-3 Percentage,Percent Change  Google Mobile Ranking 1-10,Percent Change  Google Mobile Ranking 1-10 Percentage,Percent Change  Bing Ranking 1,Percent Change  Bing Ranking 1 Percentage,Percent Change  Bing Ranking 1-3,Percent Change  Bing Ranking 1-3 Percentage,Percent Change  Bing Ranking 1-10,Percent Change  Bing Ranking 1-10 Percentage
GHT Group SEO Setup,https://ghtgroup.com/,No,Yes,UA,6.047058824,-0.3680672269,5.67394958,1.497478992,3.769747899,2.070588235,595,184,0.3092436975,246,0.4134453782,498,0.8369747899,213,0.3579831933,309,0.5193277311,502,0.843697479,231,0.3882352941,367,0.6168067227,533,0.8957983193,5.455462185,47.08571429,6.778151261,14.45546218,3.43697479,15.28403361,595,194,0.3260504202,262,0.4403361345,520,0.8739495798,170,0.2857142857,220,0.3697478992,484,0.8134453782,283,0.4756302521,403,0.6773109244,533,0.8957983193,1.108441158,-0.007816961736,0.8370939747,0.1035926055,1.096821516,0.1354739389,1,0.9484536082,0.9484536082,0.9389312977,0.9389312977,0.9576923077,0.9576923077,1.252941176,1.252941176,1.404545455,1.404545455,1.037190083,1.037190083,0.816254417,0.816254417,0.9106699752,0.9106699752,1,1
H2 Audio Video,https://h2audiovideo.com/,No,No,GA4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hi Solutions,https://www.hi.solutions,No,Yes,GA4,3.301204819,6,4.975903614,7.759036145,0.2289156627,1.795180723,83,73,0.8795180723,74,0.8915662651,77,0.9277108434,72,0.8674698795,72,0.8674698795,75,0.9036144578,79,0.9518072289,82,0.9879518072,82,0.9879518072,1.077922078,0,0.3051948052,0,0.0974025974,0,154,150,0.974025974,151,0.9805194805,151,0.9805194805,153,0.9935064935,153,0.9935064935,153,0.9935064935,153,0.9935064935,153,0.9935064935,153,0.9935064935,3.062563507,#DIV/0!,16.30402461,#DIV/0!,2.350200803,#DIV/0!,0.538961039,0.4866666667,0.9029718876,0.4900662252,0.9092795021,0.5099337748,0.9461421846,0.4705882353,0.8731396173,0.4705882353,0.8731396173,0.4901960784,0.9095204347,0.5163398693,0.9580281912,0.5359477124,0.9944090086,0.5359477124,0.9944090086
High Tech Solutions Panama,https://www.htspanama.com/,No,No,GA4,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Home Theater Of Long Island,http://www.htoli.com/,No,Yes,UA,6.076023392,4.087719298,5.49122807,0.216374269,4.385964912,-4.251461988,171,60,0.350877193,72,0.4210526316,150,0.8771929825,82,0.4795321637,102,0.5964912281,152,0.8888888889,63,0.3684210526,90,0.5263157895,151,0.8830409357,7.602339181,20.7251462,0.5847953216,0,3.877192982,18.29824561,171,53,0.3099415205,73,0.4269005848,147,0.8596491228,166,0.9707602339,166,0.9707602339,169,0.9883040936,95,0.5555555556,126,0.7368421053,149,0.8713450292,0.7992307692,0.197234763,9.39,#DIV/0!,1.131221719,-0.2323426015,1,1.132075472,1.132075472,0.9863013699,0.9863013699,1.020408163,1.020408163,0.4939759036,0.4939759036,0.6144578313,0.6144578313,0.899408284,0.899408284,0.6631578947,0.6631578947,0.7142857143,0.7142857143,1.013422819,1.013422819
Hood Branco,https://www.hb-innovations.com/,No,Yes,UA,6.389830508,70.23728814,6.254237288,14.25423729,3.677966102,27.44067797,59,11,0.186440678,20,0.3389830508,50,0.8474576271,17,0.2881355932,26,0.4406779661,49,0.8305084746,25,0.4237288136,36,0.6101694915,53,0.8983050847,6.440677966,0,10.23728814,0,0.4406779661,0.4237288136,59,43,0.7288135593,44,0.7457627119,48,0.813559322,6,0.1016949153,11,0.186440678,39,0.6610169492,56,0.9491525424,57,0.9661016949,58,0.9830508475,0.9921052632,#DIV/0!,0.6109271523,#DIV/0!,8.346153846,64.76,1,0.2558139535,0.2558139535,0.4545454545,0.4545454545,1.041666667,1.041666667,2.833333333,2.833333333,2.363636364,2.363636364,1.256410256,1.256410256,0.4464285714,0.4464285714,0.6315789474,0.6315789474,0.9137931034,0.9137931034
ICC Automation,http://www.iccautomation.com/,No,No,GA4,3.333333333,-5.1,1.366666667,-9.833333333,0,-4.366666667,30,24,0.8,24,0.8,26,0.8666666667,26,0.8666666667,26,0.8666666667,28,0.9333333333,30,1,30,1,30,1,5.866666667,2.466666667,0,0,0.7333333333,0,30,20,0.6666666667,20,0.6666666667,23,0.7666666667,30,1,30,1,30,1,27,0.9,27,0.9,30,1,0.5681818182,-2.067567568,#DIV/0!,#DIV/0!,0,#DIV/0!,1,1.2,1.2,1.2,1.2,1.130434783,1.130434783,0.8666666667,0.8666666667,0.8666666667,0.8666666667,0.9333333333,0.9333333333,1.111111111,1.111111111,1.111111111,1.111111111,1,1
Intech Systems,https://intechsystems.net/,No,No,GA4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Launch Systems,https://launchav.com/,No,Yes,UA,7.6,-5.137142857,7.171428571,-4.851428571,5.542857143,-6.314285714,175,37,0.2114285714,60,0.3428571429,137,0.7828571429,41,0.2342857143,68,0.3885714286,142,0.8114285714,50,0.2857142857,80,0.4571428571,140,0.8,4.748571429,40.06285714,5.731428571,10.84571429,4.017142857,26.97714286,175,56,0.32,66,0.3771428571,162,0.9257142857,52,0.2971428571,53,0.3028571429,151,0.8628571429,49,0.28,106,0.6057142857,159,0.9085714286,1.600481348,-0.1282270717,1.251246261,-0.447312961,1.379800853,-0.2340605804,1,0.6607142857,0.6607142857,0.9090909091,0.9090909091,0.8456790123,0.8456790123,0.7884615385,0.7884615385,1.283018868,1.283018868,0.940397351,0.940397351,1.020408163,1.020408163,0.7547169811,0.7547169811,0.8805031447,0.8805031447
Luxo Automation,https://luxoautomation.com/,No,Yes,GA4,0,0,0,0,0,0,6,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,0,0,0,0,0,0,6,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mediahead,https://www.mediahead.co/,9-30-2022,Yes,UA,15.07894737,48.13157895,14.39473684,48.94736842,1.947368421,14.15789474,38,13,0.3421052632,14,0.3684210526,23,0.6052631579,13,0.3421052632,17,0.4473684211,23,0.6052631579,28,0.7368421053,32,0.8421052632,34,0.8947368421,3.947368421,12.5,4.078947368,10.78947368,0,0,38,31,0.8157894737,31,0.8157894737,33,0.8684210526,31,0.8157894737,31,0.8157894737,33,0.8684210526,38,1,38,1,38,1,3.82,3.850526316,3.529032258,4.536585366,#DIV/0!,#DIV/0!,1,0.4193548387,0.4193548387,0.4516129032,0.4516129032,0.696969697,0.696969697,0.4193548387,0.4193548387,0.5483870968,0.5483870968,0.696969697,0.696969697,0.7368421053,0.7368421053,0.8421052632,0.8421052632,0.8947368421,0.8947368421
National AV,www.nationalav.com,No,Yes,UA,17.40384615,26.03846154,17.53846154,28.38461538,0.7115384615,-2,52,16,0.3076923077,17,0.3269230769,28,0.5384615385,17,0.3269230769,21,0.4038461538,29,0.5576923077,45,0.8653846154,49,0.9423076923,51,0.9807692308,10.03846154,1.692307692,10.03846154,0.4230769231,0.5961538462,0.2307692308,52,36,0.6923076923,36,0.6923076923,43,0.8269230769,37,0.7115384615,37,0.7115384615,43,0.8269230769,46,0.8846153846,47,0.9038461538,52,1,1.733716475,15.38636364,1.747126437,67.09090909,1.193548387,-8.666666667,1,0.4444444444,0.4444444444,0.4722222222,0.4722222222,0.6511627907,0.6511627907,0.4594594595,0.4594594595,0.5675675676,0.5675675676,0.6744186047,0.6744186047,0.9782608696,0.9782608696,1.042553191,1.042553191,0.9807692308,0.9807692308
Phand Corporation,https://phand.ca/,No,No,UA,9.5,68.18421053,10.92105263,61.78947368,1.394736842,11.28947368,38,8,0.2105263158,11,0.2894736842,29,0.7631578947,9,0.2368421053,11,0.2894736842,31,0.8157894737,28,0.7368421053,33,0.8684210526,36,0.9473684211,3.921052632,-0.2368421053,6.473684211,0.1842105263,0.5263157895,-0.3421052632,38,32,0.8421052632,32,0.8421052632,32,0.8421052632,31,0.8157894737,31,0.8157894737,31,0.8157894737,37,0.9736842105,37,0.9736842105,37,0.9736842105,2.422818792,-287.8888889,1.68699187,335.4285714,2.65,-33,1,0.25,0.25,0.34375,0.34375,0.90625,0.90625,0.2903225806,0.2903225806,0.3548387097,0.3548387097,1,1,0.7567567568,0.7567567568,0.8918918919,0.8918918919,0.972972973,0.972972973
Pro Sound and Lighting,https://prosnl.com/,No,No,GA4,34.75,15.75,0,0,4.5,8.25,4,2,0.5,2,0.5,2,0.5,4,1,4,1,4,1,3,0.75,3,0.75,3,0.75,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75
Real Tech,https://real.tech/,No,No,UA,14.77777778,44.93333333,15.93333333,0.1555555556,1.355555556,6.222222222,45,8,0.1777777778,10,0.2222222222,23,0.5111111111,8,0.1777777778,13,0.2888888889,23,0.5111111111,35,0.7777777778,37,0.8222222222,45,1,6.326086957,0.1739130435,1.413043478,0,1.869565217,0,46,32,0.6956521739,32,0.6956521739,35,0.7608695652,43,0.9347826087,43,0.9347826087,43,0.9347826087,41,0.8913043478,42,0.9130434783,43,0.9347826087,2.336006109,258.3666667,11.27589744,#DIV/0!,0.7250645995,#DIV/0!,0.9782608696,0.25,0.2555555556,0.3125,0.3194444444,0.6571428571,0.6717460317,0.1860465116,0.1901808786,0.3023255814,0.3090439276,0.5348837209,0.5467700258,0.8536585366,0.8726287263,0.880952381,0.9005291005,1.046511628,1.069767442
Residential Technology Systems,https://restechsystems.com/,No,Yes,UA,10.13043478,2.069565217,9.834782609,3.530434783,4.852173913,0.04347826087,115,25,0.2173913043,32,0.2782608696,74,0.6434782609,23,0.2,31,0.2695652174,73,0.6347826087,34,0.2956521739,63,0.547826087,93,0.8086956522,6.939130435,58.17391304,7.660869565,57.66086957,4.295652174,24.99130435,115,27,0.2347826087,35,0.3043478261,90,0.7826086957,24,0.2086956522,29,0.252173913,87,0.7565217391,50,0.4347826087,64,0.5565217391,98,0.852173913,1.459899749,0.0355754858,1.283768445,0.06122756749,1.129554656,0.00173973556,1,0.9259259259,0.9259259259,0.9142857143,0.9142857143,0.8222222222,0.8222222222,0.9583333333,0.9583333333,1.068965517,1.068965517,0.8390804598,0.8390804598,0.68,0.68,0.984375,0.984375,0.9489795918,0.9489795918
Secure Tonight,https://securetonight.com/,No,No,UA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sights N Sound,http://hometheater.biz/,No,No,GA4,1.866666667,72.2,1.866666667,72.2,0.7333333333,16.26666667,15,11,0.7333333333,12,0.8,15,1,11,0.7333333333,12,0.8,15,1,11,0.7333333333,14,0.9333333333,15,1,0,0,0,0,0,0,15,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.7333333333,0.7333333333,0.8,0.8,1,1,0.7333333333,0.7333333333,0.8,0.8,1,1,0.7333333333,0.7333333333,0.9333333333,0.9333333333,1,1
Simpli-Fi AV,https://simpli-fiav.com/,No,No,UA,16.07843137,38.78431373,17.37254902,39.50980392,0.5882352941,-1.058823529,0,20,#DIV/0!,21,#DIV/0!,27,#DIV/0!,19,#DIV/0!,20,#DIV/0!,25,#DIV/0!,47,#DIV/0!,48,#DIV/0!,50,#DIV/0!,3.568627451,1.784313725,3.725490196,1.666666667,0.4509803922,-0.9215686275,0,45,#DIV/0!,45,#DIV/0!,47,#DIV/0!,45,#DIV/0!,45,#DIV/0!,47,#DIV/0!,48,#DIV/0!,48,#DIV/0!,50,#DIV/0!,4.505494505,21.73626374,4.663157895,23.70588235,1.304347826,1.14893617,#DIV/0!,0.4444444444,#DIV/0!,0.4666666667,#DIV/0!,0.5744680851,#DIV/0!,0.4222222222,#DIV/0!,0.4444444444,#DIV/0!,0.5319148936,#DIV/0!,0.9791666667,#DIV/0!,1,#DIV/0!,1,#DIV/0!
Skynet Security,https://www.skynetsecurity.com/,No,No,UA,5.25,-3.884615385,10.07692308,-0.1153846154,2.788461538,-6.25,52,29,0.5576923077,36,0.6923076923,45,0.8653846154,25,0.4807692308,27,0.5192307692,35,0.6730769231,40,0.7692307692,42,0.8076923077,43,0.8269230769,5.25,-4.519230769,0,0,1.442307692,7.038461538,52,32,0.6153846154,39,0.75,45,0.8653846154,52,1,52,1,52,1,38,0.7307692308,43,0.8269230769,52,1,1,0.8595744681,#DIV/0!,#DIV/0!,1.933333333,-0.8879781421,1,0.90625,0.90625,0.9230769231,0.9230769231,1,1,0.4807692308,0.4807692308,0.5192307692,0.5192307692,0.6730769231,0.6730769231,1.052631579,1.052631579,0.976744186,0.976744186,0.8269230769,0.8269230769
Sony Regional Page SEO,,No,No,UA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sound and Vision Ohio,https://www.soundandvisionohio.com/,No,Yes,GA4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Soundwaves,http://www.s-waves.com/,No,Yes,UA,7.265957447,6.723404255,8.127659574,9.414893617,4.861702128,-7.180851064,94,23,0.2446808511,32,0.3404255319,72,0.7659574468,31,0.329787234,38,0.4042553191,71,0.7553191489,34,0.3617021277,47,0.5,75,0.7978723404,9.17,34.39,9.95,10.96,4.02,23.45,100,22,0.22,33,0.33,74,0.74,19,0.19,29,0.29,72,0.72,51,0.51,69,0.69,85,0.85,0.7923617717,0.1955046309,0.8168502085,0.8590231402,1.209378639,-0.3062196616,0.94,1.045454545,1.112185687,0.9696969697,1.031592521,0.972972973,1.035077631,1.631578947,1.735722284,1.310344828,1.393983859,0.9861111111,1.049054374,0.6666666667,0.7092198582,0.6811594203,0.7246376812,0.8823529412,0.9386733417
Summit Technology Group,https://summit-e.com/,No,Yes,UA,11.88297872,-0.6276595745,12.45744681,0.3829787234,1.85106383,-9.489361702,94,26,0.2765957447,32,0.3404255319,56,0.5957446809,27,0.2872340426,31,0.329787234,45,0.4787234043,70,0.7446808511,76,0.8085106383,89,0.9468085106,11.65957447,42.77659574,0,0,8.776595745,11.26595745,94,31,0.329787234,37,0.3936170213,63,0.670212766,94,1,94,1,94,1,53,0.5638297872,58,0.6170212766,71,0.7553191489,1.019160584,-0.01467296692,#DIV/0!,#DIV/0!,0.2109090909,-0.8423040604,1,0.8387096774,0.8387096774,0.8648648649,0.8648648649,0.8888888889,0.8888888889,0.2872340426,0.2872340426,0.329787234,0.329787234,0.4787234043,0.4787234043,1.320754717,1.320754717,1.310344828,1.310344828,1.253521127,1.253521127
Systems Design and Integration FL,http://www.sdiboston.com/,No,No,UA,13.75257732,7.391752577,12.81443299,-0.8659793814,2.309278351,5.154639175,97,30,0.3092783505,33,0.3402061856,59,0.6082474227,33,0.3402061856,40,0.412371134,64,0.6597938144,67,0.6907216495,75,0.7731958763,92,0.9484536082,10.57731959,20.69072165,3.804123711,1.030927835,2.402061856,2.721649485,97,32,0.3298969072,38,0.3917525773,62,0.6391752577,84,0.8659793814,85,0.8762886598,88,0.9072164948,71,0.7319587629,74,0.7628865979,87,0.8969072165,1.300194932,0.3572496263,3.368563686,-0.84,0.9613733906,1.893939394,1,0.9375,0.9375,0.8684210526,0.8684210526,0.9516129032,0.9516129032,0.3928571429,0.3928571429,0.4705882353,0.4705882353,0.7272727273,0.7272727273,0.9436619718,0.9436619718,1.013513514,1.013513514,1.057471264,1.057471264
Tech Hifi SEO Setup,https://techifi.com/,7-20-22,No,UA,9.038461538,60.88461538,8.807692308,10.23076923,2.230769231,23.26923077,0,10,#DIV/0!,11,#DIV/0!,17,#DIV/0!,11,#DIV/0!,13,#DIV/0!,19,#DIV/0!,15,#DIV/0!,19,#DIV/0!,26,#DIV/0!,0.7692307692,14.76923077,0,0,0,0,0,23,#DIV/0!,23,#DIV/0!,26,#DIV/0!,26,#DIV/0!,26,#DIV/0!,26,#DIV/0!,26,#DIV/0!,26,#DIV/0!,26,#DIV/0!,11.75,4.122395833,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4347826087,#DIV/0!,0.4782608696,#DIV/0!,0.6538461538,#DIV/0!,0.4230769231,#DIV/0!,0.5,#DIV/0!,0.7307692308,#DIV/0!,0.5769230769,#DIV/0!,0.7307692308,#DIV/0!,1,#DIV/0!
Valley Communications Systems,https://www.valleycommunications.com/,No,No,UA,8.138888889,16.27777778,7.638888889,-1.055555556,1.25,3.416666667,36,26,0.7222222222,26,0.7222222222,29,0.8055555556,26,0.7222222222,27,0.75,30,0.8333333333,30,0.8333333333,32,0.8888888889,34,0.9444444444,1.972222222,-2.222222222,0,0,1.833333333,-1.055555556,36,33,0.9166666667,33,0.9166666667,34,0.9444444444,36,1,36,1,36,1,31,0.8611111111,31,0.8611111111,34,0.9444444444,4.126760563,-7.325,#DIV/0!,#DIV/0!,0.6818181818,-3.236842105,1,0.7878787879,0.7878787879,0.7878787879,0.7878787879,0.8529411765,0.8529411765,0.7222222222,0.7222222222,0.75,0.75,0.8333333333,0.8333333333,0.9677419355,0.9677419355,1.032258065,1.032258065,1,1
Vineyard Sound,https://vineyardsoundint.com/,No,Yes,UA,3.90625,-3.359375,3.1875,-4.015625,2.9375,-5.09375,64,27,0.421875,29,0.453125,61,0.953125,37,0.578125,46,0.71875,59,0.921875,29,0.453125,46,0.71875,62,0.96875,6.064516129,21.59139785,6.537634409,4.225806452,2.107526882,11.66666667,93,37,0.3978494624,45,0.4838709677,79,0.8494623656,33,0.3548387097,36,0.3870967742,79,0.8494623656,56,0.6021505376,77,0.8279569892,90,0.9677419355,0.6441156915,-0.1555885832,0.4875616776,-0.9502624046,1.393813776,-0.4366071429,0.688172043,0.7297297297,1.060388514,0.6444444444,0.9364583333,0.7721518987,1.122033228,1.121212121,1.629261364,1.277777778,1.856770833,0.746835443,1.085245253,0.5178571429,0.7525111607,0.5974025974,0.8681006494,0.6888888889,1.001041667
Walbrandt Electric SEO Setup,https://www.walbrandtelectric.com/,No,Yes,UA,19.84615385,26.76923077,12.76923077,26.23076923,3.769230769,16.69230769,13,4,0.3076923077,4,0.3076923077,7,0.5384615385,5,0.3846153846,6,0.4615384615,8,0.6153846154,7,0.5384615385,8,0.6153846154,12,0.9230769231,9.5,0,7.625,0,0.6875,0,16,10,0.625,10,0.625,11,0.6875,11,0.6875,11,0.6875,12,0.75,14,0.875,15,0.9375,16,1,2.089068826,#DIV/0!,1.674653216,#DIV/0!,5.482517483,#DIV/0!,0.8125,0.4,0.4923076923,0.4,0.4923076923,0.6363636364,0.7832167832,0.4545454545,0.5594405594,0.5454545455,0.6713286713,0.6666666667,0.8205128205,0.5,0.6153846154,0.5333333333,0.6564102564,0.75,0.9230769231
Wicked Smart Homes,https://www.wickedsmarthomes.com/,No,Yes,GA4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wilkcomm Reno (Atlas),https://www.wilkcomm.net/,No,Yes,UA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wow Electronics,http://wow-electronics.com/,No,Yes,UA,7.388888889,2.111111111,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,12,#DIV/0!,15,#DIV/0!,18,#DIV/0!,18,#DIV/0!,18,#DIV/0!,14,#DIV/0!,14,#DIV/0!,16,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,18,#DIV/0!,18,#DIV/0!,18,#DIV/0!,18,#DIV/0!,18,#DIV/0!,18,#DIV/0!,18,#DIV/0!,18,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.6666666667,#DIV/0!,0.8333333333,#DIV/0!,1,#DIV/0!,1,#DIV/0!,1,#DIV/0!,0.7777777778,#DIV/0!,0.7777777778,#DIV/0!,0.8888888889,#DIV/0!
WSC SEO Setup,https://virginiahomeaudio.com/,No,Yes,UA,10.0462963,-9.398148148,9.333333333,-11.9537037,3.444444444,-4.351851852,108,27,0.25,37,0.3425925926,77,0.712962963,34,0.3148148148,42,0.3888888889,76,0.7037037037,60,0.5555555556,68,0.6296296296,93,0.8611111111,10.71153846,18.92307692,10.13461538,4.201923077,2.240384615,0.875,104,21,0.2019230769,31,0.2980769231,83,0.7980769231,16,0.1538461538,21,0.2019230769,80,0.7692307692,69,0.6634615385,82,0.7884615385,100,0.9615384615,0.9378948068,-0.4966501054,0.9209361164,-2.844817357,1.53743443,-4.973544974,1.038461538,1.285714286,1.238095238,1.193548387,1.149342891,0.9277108434,0.8933511825,2.125,2.046296296,2,1.925925926,0.95,0.9148148148,0.8695652174,0.8373590982,0.8292682927,0.7985546522,0.93,0.8955555556